F2,F3,F1,F11,F4,F6,F10,F9,F5,F7,F12,F8,out
2.311,3.179,1.473,1.111,2.666,0.2771,1.138,0.2539,0.2795,0.2234,4.712,0.1855,a
2.377,3.214,1.46,1.027,2.92,0.3064,1.213,0.3027,0.2527,0.02563,5.463,0.1965,a
2.164,3.064,1.552,1.058,2.745,0.21,1.221,0.21,0.282,0.1721,5.332,0.1929,a
2.228,3.149,1.605,1.062,2.834,0.3613,1.144,0.2734,0.2917,0.2087,4.829,0.1294,a
2.114,3.309,1.534,1.112,2.976,0.2502,1.254,0.2039,0.21,0.2258,5.734,0.177,a
2.262,3.18,1.796,1.03,2.888,0.1477,1.172,0.2039,0.2966,0.1624,4.861,0.282,a
2.323,3.469,1.566,0.9924,2.711,0.05371,1.158,0.2197,0.2417,0.2112,4.78,-0.02686,a
2.152,3.287,1.425,1.115,2.781,0.2075,1.271,0.2698,0.2991,0.1038,5.662,0.1147,a
2.271,3.323,1.595,1.033,2.743,0.1965,1.29,0.2051,0.1733,0.1685,5.145,0.05859,a
2.211,3.176,1.628,1.008,2.71,0.1892,1.155,0.3491,0.08423,0.2783,5.613,0.1685,a
2.253,3.278,1.583,1.112,2.854,0.1099,1.135,0.2173,0.1489,0.2283,5.549,0.07324,a
2.277,3.322,1.454,1.229,2.866,0.2832,1.14,0.2637,0.3015,0.2124,4.929,0.1562,a
2.183,3.226,1.617,1.033,2.71,0.2563,1.255,0.2856,0.1221,0.01587,5.376,0.1404,a
2.344,3.181,1.482,1.086,2.894,0.1782,0.9558,0.2637,0.2344,0.2307,5.157,0.2051,a
2.26,3.143,1.443,1.083,2.705,0.09644,1.133,0.2344,0.2808,0.1929,5.645,0.2197,a
2.349,2.998,1.477,1.075,2.994,0.1953,1.227,0.0415,0.2466,0.1794,5.686,0.09277,a
2.206,3.322,1.527,1.071,2.892,0.1465,1.222,0.1929,0.21,0.09521,5.2,0.1648,a
2.296,3.439,1.599,1.118,2.662,0.1941,1.183,0.08789,0.2014,0.2271,5.364,0.1343,a
2.308,3.364,1.587,1.158,2.866,0.1624,1.218,0.2991,0.2625,0.1025,4.751,0.2246,a
2.366,3.203,1.521,1.006,2.986,0.271,1.243,0.2844,0.2173,0.177,5.056,0.1306,a
2.258,3.313,1.562,1.086,2.654,0.1575,1.117,0.376,0.1648,0.1807,5.443,0.177,a
2.57,3.169,1.438,1.056,2.77,0.09277,1.345,0.2795,0.1282,0.1599,5.347,0.06836,a
